lcode,municipality
30301,Gosaikunda Rural Municipality
30305,Naukunda Rural Municipality
30302,Aamachhodingmo Rural Municipality
30402,Khaniyabas Rural Municipality
30403,Ganga Jamuna Rural Municipality
30410,Gajuri Rural Municipality
30411,Galchhi Rural Municipality
30407,Jwalamukhi Rural Municipality
30404,Tripurasundari Rural Municipality
30412,Thakre Rural Municipality
30413,Dhunibenshi Urban Municipality
30406,Nilkhantha Urban Municipality
30405,Netrawati Dabjong Rural Municipality
30409,Benighat Rorang Rural Municipality
30401,Rubi Valley Rural Municipality
30408,Siddhalek Rural Municipality
30512,Kakani Rural Municipality
30505,Kispang Rural Municipality
30502,Tadi Rural Municipality
30507,Tarakeshwor Rural Municipality
30501,Dupcheshwor Rural Municipality
30510,Panchakanya Rural Municipality
30508,Belkotgadhi Urban Municipality
30506,Myagang Rural Municipality
30509,Likhu Tamakoshi Rural Municipality
30504,Bidur Urban Municipality
30511,Shivapuri Rural Municipality
30503,Suryagadhi Rural Municipality
30602,Kageshwori Manahara Urban Municipality
30608,Kathmandu Metropolitian City
30609,Kirtipur Urban Municipality
30603,Gokarneshwor Urban Municipality
30610,Chandragiri Urban Municipality
30605,Tokha Urban Municipality
30606,Tarakeshwor Urban Municipality
30611,Dakshinkali Urban Municipality
30607,Nagarjun Urban Municipality
30604,Budhanilkhantha Urban Municipality
30601,Shankharapur Urban Municipality
30701,Changunarayan Urban Municipality
30702,Bhaktapur Urban Municipality
30703,Madhyapur Thimi Urban Municipality
30704,Suryabinayak Urban Municipality
30804,Konjyosom Rural Municipality
30803,Godawari Urban Municipality
30806,Bagmati Rural Municipality
30805,Mahankal Rural Municipality
30801,Mahalaxmi Urban Municipality
30802,Lalitpur Metropolitian City
30913,Khanikhola Rural Municipality
30901,Chauri Deurali Rural Municipality
30907,Temal Rural Municipality
30905,Dhulikhel Urban Municipality
30908,Namobuddha Urban Municipality
30909,Panauti Urban Municipality
30906,Panchkhal Urban Municipality
30904,Banepa Urban Municipality
30910,Bethanchowk Rural Municipality
30902,Bhumlu Rural Municipality
30903,Mandan Deupur Urban Municipality
30912,Mahabharat Rural Municipality
30911,Roshi Rural Municipality
30207,Choutara Sangachowkgadhi Urban Municipality
30202,Jugal Rural Municipality
30208,Balephi Rural Municipality
30203,Panchpokhari Thangpal Rural Municipality
30210,Tripurasundari Rural Municipality
30201,Bhotekoshi Rural Municipality
30205,Melamchi Urban Municipality
30206,Indrawoti Rural Municipality
30211,Lisankhu Pakhar Rural Municipality
30209,Bahrabise Urban Municipality
30212,Sunkoshi Rural Municipality
30204,Helambu Rural Municipality
31201,Indrasarowar Rural Municipality
31203,Kailash Rural Municipality
31202,Thaha Urban Municipality
31209,Bakaiya Rural Municipality
31210,Bagmati Rural Municipality
31207,Bhimphedi Rural Municipality
31208,Makawanpurgadhi Rural Municipality
31205,Manahari Rural Municipality
31204,Raksirang Rural Municipality
31206,Hetauda Sub-Metropolitian City
31303,Ichchha Kamana Rural Municipality
31302,Kalika Urban Municipality
31306,Khairahani Urban Municipality
31304,Bharatpur Metropolitian City
31307,Madi Urban Municipality
31305,Ratnanagar Urban Municipality
31301,Rapti Urban Municipality
40102,Ajirkot Rural Municipality
40105,Aarughat Rural Municipality
40111,Gandaki Rural Municipality
40109,Gorkha Urban Municipality
40101,Chumanubri Rural Municipality
40104,Dharche Rural Municipality
40108,Palungtar Urban Municipality
40106,Bhimsenthapa Rural Municipality
40110,Shahid Lakhan Rural Municipality
40107,Siranchowk Rural Municipality
40103,Barpak Sulikot Rural Municipality
40203,Chame Rural Municipality
40201,Narpa Bhumi Rural Municipality
40204,Nason Rural Municipality
40202,Manang Ngisyang Rural Municipality
40603,Kwhola Sothar Rural Municipality
40608,Dudhapokhari Rural Municipality
40601,Dordi Rural Municipality
40605,Bensi Shahar Urban Municipality
40604,Madhya Nepal Urban Municipality
40602,Marshyangdi Rural Municipality
40607,Rainas Urban Municipality
40606,Sundarbazar Urban Municipality
40503,Annapurna Rural Municipality
40504,Pokhara Metropolitian City
40502,Machhapuchchhre Rural Municipality
40501,Madi Rural Municipality
40505,Rupa Rural Municipality
40710,Aanbu Khaireni Rural Municipality
40707,Rhishing Rural Municipality
40706,Ghiring Rural Municipality
40708,Devghat Rural Municipality
40709,Bandipur Rural Municipality
40701,Bhanu Urban Municipality
40705,Bhimad Urban Municipality
40703,Myagde Rural Municipality
40702,Byas Urban Municipality
40704,Shuklagandaki Urban Municipality
40904,Arjun Choupari Rural Municipality
40903,Aandhikhola Rural Municipality
40911,Kaligandaki Rural Municipality
40910,Galyang Urban Municipality
40908,Chapakot Urban Municipality
40901,Putalibazar Urban Municipality
40902,Phedikhola Rural Municipality
40905,Bhirkot Urban Municipality
40909,Walling Urban Municipality
40906,Biruwa Rural Municipality
40907,Harinas Rural Municipality
40806,Kawasoti Urban Municipality
40801,Gaidakot Urban Municipality
40805,Devchuli Urban Municipality
40803,Baudikali Rural Municipality
40802,Bulingtar Rural Municipality
40807,Madhya Bindu Urban Municipality
40808,Binayi Tribeni Rural Municipality
40804,Hupsekot Rural Municipality
40302,Gharpajhong Rural Municipality
40305,Thasang Rural Municipality
40301,Lo Ghekar Damodarkunda Rural Municipality
40303,Varagung Muktichhetra Rural Municipality
