Lcode,MunicipalityName,GaPa_NaPa
20609,Dewahi Gonahi Urban Municipality,Dewahi Gonahi
20612,Paroha Urban Municipality,Paroha
20603,Phatuwa Bijayapur Urban Municipality,Phatuwa Bijayapur
20611,Boudhimai Urban Municipality,Boudhimai
20607,Madhav Narayan Urban Municipality,Madhav Narayan
20610,Maulapur Urban Municipality,Maulapur
20614,Yamunamai Rural Municipality,Yamunamai
20616,Rajdevi Urban Municipality,Rajdevi
20613,Rajpur Urban Municipality,Rajpur
20605,Brindaban Urban Municipality,Brindaban
20711,Aadarsha Kotwal Rural Municipality,Aadarsha Kotwal
20709,Karaiyamai Rural Municipality,Karaiyamai
20708,Kalaiya Sub-Metropolitian City,Kalaiya
20702,Kolhabi Urban Municipality,Kolhabi
20703,Jitpur Simara Sub-Metropolitian City,Jitpur Simara
20715,Devtal Rural Municipality,Devtal
20701,Nijagadh Urban Municipality,Nijagadh
20710,Baragadhi Rural Municipality,Baragadhi
20714,Mahagadhimai Urban Municipality,Mahagadhimai
20712,Simroungadh Urban Municipality,Simroungadh
20716,Subarna Rural Municipality,Subarna
20713,Pacharauta Urban Municipality,Pacharauta
20704,Parawanipur Rural Municipality,Parawanipur
20705,Prasauni Rural Municipality,Prasauni
20707,Pheta Rural Municipality,Pheta
20706,Bishrampur Rural Municipality,Bishrampur
20812,Chipaharmai Rural Municipality,Chipaharmai
20803,Jagarnathpur Rural Municipality,Jagarnathpur
20811,Dhobini Rural Municipality,Dhobini
20813,Pakaha mainpur Rural Municipality,Pakaha mainpur
20814,Bindabasini Urban Municipality,Bindabasini
20805,Sakhuwa Prasauni Rural Municipality,Sakhuwa Prasauni
20810,Kalikamai Rural Municipality,Kalikamai
20802,Jirabhawani Rural Municipality,Jirabhawani
20801,Thori (Subarnapur) Rural Municipality,Thori
20804,Partewa Sugauli Rural Municipality,Partewa Sugauli
20806,Parsagadhi Urban Municipality,Parsagadhi
20809,Pokhariya Urban Municipality,Pokhariya
20808,Badarmai Urban Municipality,Badarmai
20807,Birgunj Metropolitian City,Birgunj
30103,Kalinchowk Rural Municipality,Kalinchowk
30101,Gaurishankar Rural Municipality,Gaurishankar
30105,Jiri Urban Municipality,Jiri
30106,Tamakoshi Rural Municipality,Tamakoshi
30109,Bhimeshwor Urban Municipality,Bhimeshwor
30107,Melung Rural Municipality,Melung
30102,Bigu Rural Municipality,Bigu
30104,Baiteshwor Rural Municipality,Baiteshwor
30108,Shailung Rural Municipality,Shailung
31001,Umakunda Rural Municipality,Umakunda
31006,Khandadevi Rural Municipality,Khandadevi
31002,Gokulganga Rural Municipality,Gokulganga
31007,Doramba Rural Municipality,Doramba
31005,Manthali Urban Municipality,Manthali
31004,Ramechhap Urban Municipality,Ramechhap
31003,Likhu Tamakoshi Rural Municipality,Likhu Tamakoshi
31008,Sunapati Rural Municipality,Sunapati
31105,Kamalamai Urban Municipality,Kamalamai
31104,Golanjor Rural Municipality,Golanjor
31107,Ghyanglekha Rural Municipality,Ghyanglekha
31103,Tinpatan Rural Municipality,Tinpatan
31101,Dudhouli Urban Municipality,Dudhouli
31102,Phikkal Rural Municipality,Phikkal
31108,Marin Rural Municipality,Marin
31106,Sunkoshi Rural Municipality,Sunkoshi
31109,Hariharpurgadhi Rural Municipality,Hariharpurgadhi
30303,Uttargaya Rural Municipality,Uttargaya
30304,Kalika Rural Municipality,Kalika
30301,Gosaikunda Rural Municipality,Gosaikunda
30305,Naukunda Rural Municipality,Naukunda
30302,Aamachhodingmo Rural Municipality,Aamachhodingmo
30402,Khaniyabas Rural Municipality,Khaniyabas
30403,Ganga Jamuna Rural Municipality,Ganga Jamuna
30410,Gajuri Rural Municipality,Gajuri
30411,Galchhi Rural Municipality,Galchhi
30407,Jwalamukhi Rural Municipality,Jwalamukhi
30404,Tripurasundari Rural Municipality,Tripurasundari
30412,Thakre Rural Municipality,Thakre
30413,Dhunibenshi Urban Municipality,Dhunibenshi
30406,Nilkhantha Urban Municipality,Nilkhantha
30405,Netrawati Dabjong Rural Municipality,Netrawati Dabjong
30409,Benighat Rorang Rural Municipality,Benighat Rorang
30401,Rubi Valley Rural Municipality,Rubi Valley
30408,Siddhalek Rural Municipality,Siddhalek
30512,Kakani Rural Municipality,Kakani
30505,Kispang Rural Municipality,Kispang
30502,Tadi Rural Municipality,Tadi
30507,Tarakeshwor Rural Municipality,Tarakeshwor
30501,Dupcheshwor Rural Municipality,Dupcheshwor
30510,Panchakanya Rural Municipality,Panchakanya
30508,Belkotgadhi Urban Municipality,Belkotgadhi
30506,Myagang Rural Municipality,Myagang
30509,Likhu Tamakoshi Rural Municipality,Likhu Tamakoshi
30504,Bidur Urban Municipality,Bidur
30511,Shivapuri Rural Municipality,Shivapuri
30503,Suryagadhi Rural Municipality,Suryagadhi
